202,"36110","San Bernardino County","Superior","Rancho Cucamonga"
203,"36120","San Bernardino County","Superior","Victorville"
204,"36130","San Bernardino County","Superior","Barstow"
205,"36140","San Bernardino County","Superior","Joshua Tree"
206,"36200","San Bernardino County","Juvenile","San Bernardino"
207,"36210","San Bernardino County","Juvenile","Rancho Cucamonga"
208,"36220","San Bernardino County","Juvenile","Victorville"
209,"36433","San Bernardino County","Superior","Chino"
210,"36460","San Bernardino County","Superior","Redlands"
211,"36470","San Bernardino County","Superior","San Bernardino"
212,"36480","San Bernardino County","Superior","Fontana"
213,"36490","San Bernardino County","Superior","Victorville"
214,"36495","San Bernardino County","Superior","Rancho Cucamonga"
215,"36625","San Bernardino County","Superior","Big Bear Lake"
216,"36637","San Bernardino County","Superior","Twin Peaks"
217,"36660","San Bernardino County","Superior","Needles"
218,"36677","San Bernardino County","Superior","Joshua Tree"
219,"37100","San Diego County","Superior","San Diego"
220,"37110","San Diego County","Superior","Vista"
221,"37200","San Diego County","Juvenile","San Diego"
222,"37440","San Diego County","Superior","El Cajon"
223,"37460","San Diego County","Superior","Vista"
224,"37480","San Diego County","Superior","San Diego"
225,"37485","San Diego County","Superior","Chula Vista"
226,"38100","San Francsico County","Superior","San Francisco"
227,"38200","San Francsico County","Juvenile","San Francisco"
228,"38460","San Francsico County","Superior","San Francisco"
229,"39100","San Joaquin County","Superior","Stockton"
230,"39200","San Joaquin County","Juvenile","French Camp"
231,"39440","San Joaquin County","Superior","Lodi"
232,"39451","San Joaquin County","Superior","Manteca"
233,"39453","San Joaquin County","Superior","Tracey"
234,"39460","San Joaquin County","Superior","Stockton"
235,"40100","San Luis Obispo County","Superior","San Luis Obispo"
236,"40200","San Luis Obispo County","Juvenile","San Luis Obispo"
237,"40410","San Luis Obispo County","Superior","San Luis Obispo"
238,"40420","San Luis Obispo County","Superior","Grover Beach"
239,"40430","San Luis Obispo County","Superior","Pas Robles"
240,"41100","San Mateo County","Superior","Redwood City"
241,"41200","San Mateo County","Juvenile","San Mateo"
242,"41410","San Mateo County","Superior","San Mateo"
243,"41420","San Mateo County","Superior","South San Francisco"
244,"41430","San Mateo County","Superior","Redwood City"
245,"42100","Santa Barbara County","Superior","Santa Barbara"
246,"42101","Santa Barbara County","Superior","Santa Maria"
247,"42200","Santa Barbara County","Juvenile","Santa Barbara"
248,"42201","Santa Barbara County","Juvenile","Santa Maria"
249,"42202","Santa Barbara County","Juvenile","Santa Maria"
250,"42460","Santa Barbara County","Superior","Santa Barbara"
251,"42465","Santa Barbara County","Superior","Santa Maria"
252,"42470","Santa Barbara County","Superior","Lompoc"
253,"43100","Santa Clara County","Superior","San Jose"
254,"43200","Santa Clara County","Juvenile","San Jose"
255,"43460","Santa Clara County","Superior","Palo Alto"
256,"43470","Santa Clara County","Superior","San Jose"
257,"43473","Santa Clara County","Superior","Santa Clara"
258,"43477","Santa Clara County","Superior","Sunnyvale"
259,"43635","Santa Clara County","Superior","San Martin"
260,"44100","Santa Cruz County","Superior","Santa Cruz"
